잔여좌석,전체좌석,사용중,년,월,일,시간,요일코드,열람실 ID,Exam_Flag,Holiday_Flag,Post_Holiday_Flag,EMA_Short,EMA_Periodic
372,375,3,2025,9,25,6,3,1,0,0,0,0.008,0.008
373,375,2,2025,9,25,6,3,1,0,0,0,0.005333333333333333,0.005333333333333333
366,375,9,2025,9,25,7,3,1,0,0,0,0.024,0.024
363,375,12,2025,9,25,7,3,1,0,0,0,0.032,0.032
347,375,28,2025,9,25,8,3,1,0,0,0,0.07466666666666667,0.07466666666666667
336,375,39,2025,9,25,8,3,1,0,0,0,0.104,0.104
285,375,90,2025,9,25,10,3,1,0,0,0,0.24,0.24
198,375,177,2025,9,25,12,3,1,0,0,0,0.472,0.472
164,375,211,2025,9,25,12,3,1,0,0,0,0.5626666666666666,0.5626666666666666
128,375,247,2025,9,25,13,3,1,0,0,0,0.6586666666666666,0.6586666666666666
116,375,259,2025,9,25,13,3,1,0,0,0,0.6906666666666667,0.6906666666666667
94,375,281,2025,9,25,14,3,1,0,0,0,0.7493333333333333,0.7493333333333333
83,375,292,2025,9,25,14,3,1,0,0,0,0.7786666666666666,0.7786666666666666
45,375,330,2025,9,25,15,3,1,0,0,0,0.88,0.88
17,375,358,2025,9,25,16,3,1,0,0,0,0.9546666666666667,0.9546666666666667
4,375,371,2025,9,25,16,3,1,0,0,0,0.9893333333333333,0.9893333333333333
17,375,358,2025,9,25,17,3,1,0,0,0,0.9546666666666667,0.9546666666666667
34,375,341,2025,9,25,18,3,1,0,0,0,0.9093333333333333,0.9093333333333333
36,375,339,2025,9,25,18,3,1,0,0,0,0.904,0.904
34,375,341,2025,9,25,19,3,1,0,0,0,0.9093333333333333,0.9093333333333333
41,375,334,2025,9,25,19,3,1,0,0,0,0.8906666666666667,0.8906666666666667
45,375,330,2025,9,25,20,3,1,0,0,0,0.88,0.88
43,375,332,2025,9,25,20,3,1,0,0,0,0.8853333333333333,0.8853333333333333
47,375,328,2025,9,25,21,3,1,0,0,0,0.8746666666666667,0.8746666666666667
74,375,301,2025,9,25,21,3,1,0,0,0,0.8026666666666666,0.8026666666666666
81,375,294,2025,9,25,22,3,1,0,0,0,0.784,0.784
115,375,260,2025,9,25,22,3,1,0,0,0,0.6933333333333334,0.6933333333333334
174,375,201,2025,9,25,23,3,1,0,0,0,0.536,0.536
208,375,167,2025,9,25,23,3,1,0,0,0,0.44533333333333336,0.44533333333333336
238,375,137,2025,9,26,0,4,1,0,0,0,0.36533333333333334,0.36533333333333334
374,375,1,2025,9,26,6,4,1,0,0,0,0.0026666666666666666,0.0026666666666666666
374,375,1,2025,9,26,6,4,1,0,0,0,0.0026666666666666666,0.0026666666666666666
372,375,3,2025,9,26,7,4,1,0,0,0,0.008,0.008
369,375,6,2025,9,26,7,4,1,0,0,0,0.016,0.016
362,375,13,2025,9,26,8,4,1,0,0,0,0.034666666666666665,0.034666666666666665
356,375,19,2025,9,26,8,4,1,0,0,0,0.050666666666666665,0.050666666666666665
339,375,36,2025,9,26,9,4,1,0,0,0,0.096,0.096
327,375,48,2025,9,26,9,4,1,0,0,0,0.128,0.128
310,375,65,2025,9,26,10,4,1,0,0,0,0.17333333333333334,0.17333333333333334
302,375,73,2025,9,26,10,4,1,0,0,0,0.19466666666666665,0.19466666666666665
281,375,94,2025,9,26,11,4,1,0,0,0,0.25066666666666665,0.25066666666666665
265,375,110,2025,9,26,11,4,1,0,0,0,0.29333333333333333,0.29333333333333333
234,375,141,2025,9,26,12,4,1,0,0,0,0.376,0.376
233,375,142,2025,9,26,12,4,1,0,0,0,0.37866666666666665,0.37866666666666665
199,375,176,2025,9,26,13,4,1,0,0,0,0.4693333333333333,0.4693333333333333
180,375,195,2025,9,26,13,4,1,0,0,0,0.52,0.52
159,375,216,2025,9,26,14,4,1,0,0,0,0.576,0.576
143,375,232,2025,9,26,14,4,1,0,0,0,0.6186666666666667,0.6186666666666667
126,375,249,2025,9,26,15,4,1,0,0,0,0.664,0.664
109,375,266,2025,9,26,15,4,1,0,0,0,0.7093333333333334,0.7093333333333334
106,375,269,2025,9,26,16,4,1,0,0,0,0.7173333333333334,0.7173333333333334
101,375,274,2025,9,26,16,4,1,0,0,0,0.7306666666666667,0.7306666666666667
97,375,278,2025,9,26,17,4,1,0,0,0,0.7413333333333333,0.7413333333333333
91,375,284,2025,9,26,17,4,1,0,0,0,0.7573333333333333,0.7573333333333333
98,375,277,2025,9,26,18,4,1,0,0,0,0.7386666666666667,0.7386666666666667
97,375,278,2025,9,26,18,4,1,0,0,0,0.7413333333333333,0.7413333333333333
100,375,275,2025,9,26,19,4,1,0,0,0,0.7333333333333333,0.7333333333333333
95,375,280,2025,9,26,19,4,1,0,0,0,0.7466666666666667,0.7466666666666667
101,375,274,2025,9,26,20,4,1,0,0,0,0.7306666666666667,0.7306666666666667
106,375,269,2025,9,26,20,4,1,0,0,0,0.7173333333333334,0.7173333333333334
124,375,251,2025,9,26,21,4,1,0,0,0,0.6693333333333333,0.6693333333333333
128,375,247,2025,9,26,21,4,1,0,0,0,0.6586666666666666,0.6586666666666666
167,375,208,2025,9,26,22,4,1,0,0,0,0.5546666666666666,0.5546666666666666
168,375,207,2025,9,26,22,4,1,0,0,0,0.552,0.552
182,375,193,2025,9,26,22,4,1,0,0,0,0.5146666666666667,0.5146666666666667
205,375,170,2025,9,26,23,4,1,0,0,0,0.4533333333333333,0.4533333333333333
234,375,141,2025,9,26,23,4,1,0,0,0,0.376,0.376
375,375,0,2025,9,27,6,5,1,0,0,0,0.0,0.0
375,375,0,2025,9,27,6,5,1,0,0,0,0.0,0.0
375,375,0,2025,9,27,7,5,1,0,0,0,0.0,0.0
375,375,0,2025,9,27,7,5,1,0,0,0,0.0,0.0
375,375,0,2025,9,27,8,5,1,0,0,0,0.0,0.0
375,375,0,2025,9,27,8,5,1,0,0,0,0.0,0.0
375,375,0,2025,9,27,10,5,1,0,0,0,0.0,0.0
375,375,0,2025,9,27,11,5,1,0,0,0,0.0,0.0
328,375,47,2025,9,27,12,5,1,0,0,0,0.12533333333333332,0.12533333333333332
321,375,54,2025,9,27,12,5,1,0,0,0,0.144,0.144
307,375,68,2025,9,27,12,5,1,0,0,0,0.18133333333333335,0.18133333333333335
274,375,101,2025,9,27,13,5,1,0,0,0,0.2693333333333333,0.2693333333333333
253,375,122,2025,9,27,13,5,1,0,0,0,0.3253333333333333,0.3253333333333333
223,375,152,2025,9,27,14,5,1,0,0,0,0.4053333333333333,0.4053333333333333
210,375,165,2025,9,27,14,5,1,0,0,0,0.44,0.44
169,375,206,2025,9,27,15,5,1,0,0,0,0.5493333333333333,0.5493333333333333
151,375,224,2025,9,27,15,5,1,0,0,0,0.5973333333333334,0.5973333333333334
130,375,245,2025,9,27,16,5,1,0,0,0,0.6533333333333333,0.6533333333333333
123,375,252,2025,9,27,16,5,1,0,0,0,0.672,0.672
108,375,267,2025,9,27,17,5,1,0,0,0,0.712,0.712
112,375,263,2025,9,27,17,5,1,0,0,0,0.7013333333333334,0.7013333333333334
113,375,262,2025,9,27,18,5,1,0,0,0,0.6986666666666667,0.6986666666666667
116,375,259,2025,9,27,18,5,1,0,0,0,0.6906666666666667,0.6906666666666667
114,375,261,2025,9,27,19,5,1,0,0,0,0.696,0.696
120,375,255,2025,9,27,19,5,1,0,0,0,0.68,0.68
121,375,254,2025,9,27,20,5,1,0,0,0,0.6773333333333333,0.6773333333333333
126,375,249,2025,9,27,20,5,1,0,0,0,0.664,0.664
148,375,227,2025,9,27,21,5,1,0,0,0,0.6053333333333333,0.6053333333333333
168,375,207,2025,9,27,22,5,1,0,0,0,0.552,0.552
180,375,195,2025,9,27,22,5,1,0,0,0,0.52,0.52
208,375,167,2025,9,27,23,5,1,0,0,0,0.44533333333333336,0.44533333333333336
231,375,144,2025,9,27,23,5,1,0,0,0,0.384,0.384
375,375,0,2025,9,28,6,6,1,0,0,0,0.0,0.0
374,375,1,2025,9,28,6,6,1,0,0,0,0.0026666666666666666,0.0026666666666666666
374,375,1,2025,9,28,7,6,1,0,0,0,0.0026666666666666666,0.0026666666666666666
374,375,1,2025,9,28,7,6,1,0,0,0,0.0026666666666666666,0.0026666666666666666
373,375,2,2025,9,28,8,6,1,0,0,0,0.005333333333333333,0.005333333333333333
370,375,5,2025,9,28,8,6,1,0,0,0,0.013333333333333334,0.013333333333333334
350,375,25,2025,9,28,10,6,1,0,0,0,0.06666666666666667,0.06666666666666667
315,375,60,2025,9,28,11,6,1,0,0,0,0.16,0.16
314,375,61,2025,9,28,11,6,1,0,0,0,0.16266666666666665,0.16266666666666665
286,375,89,2025,9,28,12,6,1,0,0,0,0.23733333333333334,0.23733333333333334
253,375,122,2025,9,28,13,6,1,0,0,0,0.3253333333333333,0.3253333333333333
231,375,144,2025,9,28,13,6,1,0,0,0,0.384,0.384
187,375,188,2025,9,28,14,6,1,0,0,0,0.5013333333333333,0.5013333333333333
159,375,216,2025,9,28,14,6,1,0,0,0,0.576,0.576
108,375,267,2025,9,28,15,6,1,0,0,0,0.712,0.712
85,375,290,2025,9,28,15,6,1,0,0,0,0.7733333333333333,0.7733333333333333
75,375,300,2025,9,28,16,6,1,0,0,0,0.8,0.8
65,375,310,2025,9,28,16,6,1,0,0,0,0.8266666666666667,0.8266666666666667
63,375,312,2025,9,28,17,6,1,0,0,0,0.832,0.832
62,375,313,2025,9,28,17,6,1,0,0,0,0.8346666666666667,0.8346666666666667
63,375,312,2025,9,28,18,6,1,0,0,0,0.832,0.832
72,375,303,2025,9,28,18,6,1,0,0,0,0.808,0.808
68,375,307,2025,9,28,19,6,1,0,0,0,0.8186666666666667,0.8186666666666667
77,375,298,2025,9,28,19,6,1,0,0,0,0.7946666666666666,0.7946666666666666
77,375,298,2025,9,28,20,6,1,0,0,0,0.7946666666666666,0.7946666666666666
79,375,296,2025,9,28,20,6,1,0,0,0,0.7893333333333333,0.7893333333333333
121,375,254,2025,9,28,21,6,1,0,0,0,0.6773333333333333,0.6773333333333333
133,375,242,2025,9,28,22,6,1,0,0,0,0.6453333333333333,0.6453333333333333
148,375,227,2025,9,28,22,6,1,0,0,0,0.6053333333333333,0.6053333333333333
173,375,202,2025,9,28,23,6,1,0,0,0,0.5386666666666666,0.5386666666666666
192,375,183,2025,9,28,23,6,1,0,0,0,0.488,0.488
375,375,0,2025,9,29,6,0,1,0,0,0,0.0,0.0
375,375,0,2025,9,29,6,0,1,0,0,0,0.0,0.0
370,375,5,2025,9,29,7,0,1,0,0,0,0.013333333333333334,0.013333333333333334
366,375,9,2025,9,29,7,0,1,0,0,0,0.024,0.024
352,375,23,2025,9,29,8,0,1,0,0,0,0.06133333333333333,0.06133333333333333
323,375,52,2025,9,29,8,0,1,0,0,0,0.13866666666666666,0.13866666666666666
297,375,78,2025,9,29,9,0,1,0,0,0,0.208,0.208
238,375,137,2025,9,29,10,0,1,0,0,0,0.36533333333333334,0.36533333333333334
213,375,162,2025,9,29,11,0,1,0,0,0,0.432,0.432
187,375,188,2025,9,29,11,0,1,0,0,0,0.5013333333333333,0.5013333333333333
159,375,216,2025,9,29,12,0,1,0,0,0,0.576,0.576
153,375,222,2025,9,29,12,0,1,0,0,0,0.592,0.592
114,375,261,2025,9,29,13,0,1,0,0,0,0.696,0.696
99,375,276,2025,9,29,13,0,1,0,0,0,0.736,0.736
84,375,291,2025,9,29,14,0,1,0,0,0,0.776,0.776
74,375,301,2025,9,29,14,0,1,0,0,0,0.8026666666666666,0.8026666666666666
25,375,350,2025,9,29,15,0,1,0,0,0,0.9333333333333333,0.9333333333333333
24,375,351,2025,9,29,15,0,1,0,0,0,0.936,0.936
14,375,361,2025,9,29,16,0,1,0,0,0,0.9626666666666667,0.9626666666666667
6,375,369,2025,9,29,16,0,1,0,0,0,0.984,0.984
1,375,374,2025,9,29,17,0,1,0,0,0,0.9973333333333333,0.9973333333333333
1,375,374,2025,9,29,17,0,1,0,0,0,0.9973333333333333,0.9973333333333333
1,375,374,2025,9,29,18,0,1,0,0,0,0.9973333333333333,0.9973333333333333
0,375,375,2025,9,29,18,0,1,0,0,0,1.0,1.0
1,375,374,2025,9,29,19,0,1,0,0,0,0.9973333333333333,0.9973333333333333
2,375,373,2025,9,29,19,0,1,0,0,0,0.9946666666666667,0.9946666666666667
1,375,374,2025,9,29,20,0,1,0,0,0,0.9973333333333333,0.9973333333333333
1,375,374,2025,9,29,20,0,1,0,0,0,0.9973333333333333,0.9973333333333333
16,375,359,2025,9,29,21,0,1,0,0,0,0.9573333333333334,0.9573333333333334
63,375,312,2025,9,29,22,0,1,0,0,0,0.832,0.832
81,375,294,2025,9,29,22,0,1,0,0,0,0.784,0.784
112,375,263,2025,9,29,23,0,1,0,0,0,0.7013333333333334,0.7013333333333334
143,375,232,2025,9,29,23,0,1,0,0,0,0.6186666666666667,0.6186666666666667
374,375,1,2025,9,30,6,1,1,0,0,0,0.0026666666666666666,0.0026666666666666666
373,375,2,2025,9,30,6,1,1,0,0,0,0.005333333333333333,0.005333333333333333
363,375,12,2025,9,30,7,1,1,0,0,0,0.032,0.032
355,375,20,2025,9,30,7,1,1,0,0,0,0.05333333333333334,0.05333333333333334
341,375,34,2025,9,30,8,1,1,0,0,0,0.09066666666666667,0.09066666666666667
321,375,54,2025,9,30,8,1,1,0,0,0,0.144,0.144
284,375,91,2025,9,30,9,1,1,0,0,0,0.24266666666666667,0.24266666666666667
274,375,101,2025,9,30,9,1,1,0,0,0,0.2693333333333333,0.2693333333333333
257,375,118,2025,9,30,10,1,1,0,0,0,0.31466666666666665,0.31466666666666665
231,375,144,2025,9,30,10,1,1,0,0,0,0.384,0.384
216,375,159,2025,9,30,10,1,1,0,0,0,0.424,0.424
192,375,183,2025,9,30,11,1,1,0,0,0,0.488,0.488
171,375,204,2025,9,30,11,1,1,0,0,0,0.544,0.544
134,375,241,2025,9,30,12,1,1,0,0,0,0.6426666666666667,0.6426666666666667
85,375,290,2025,9,30,13,1,1,0,0,0,0.7733333333333333,0.7733333333333333
69,375,306,2025,9,30,13,1,1,0,0,0,0.816,0.816
53,375,322,2025,9,30,14,1,1,0,0,0,0.8586666666666667,0.8586666666666667
44,375,331,2025,9,30,14,1,1,0,0,0,0.8826666666666667,0.8826666666666667
19,375,356,2025,9,30,15,1,1,0,0,0,0.9493333333333334,0.9493333333333334
9,375,366,2025,9,30,15,1,1,0,0,0,0.976,0.976
3,375,372,2025,9,30,16,1,1,0,0,0,0.992,0.992
3,375,372,2025,9,30,16,1,1,0,0,0,0.992,0.992
0,375,375,2025,9,30,17,1,1,0,0,0,1.0,1.0
1,375,374,2025,9,30,17,1,1,0,0,0,0.9973333333333333,0.9973333333333333
2,375,373,2025,9,30,18,1,1,0,0,0,0.9946666666666667,0.9946666666666667
2,375,373,2025,9,30,18,1,1,0,0,0,0.9946666666666667,0.9946666666666667
6,375,369,2025,9,30,19,1,1,0,0,0,0.984,0.984
2,375,373,2025,9,30,19,1,1,0,0,0,0.9946666666666667,0.9946666666666667
0,375,375,2025,9,30,20,1,1,0,0,0,1.0,1.0
0,375,375,2025,9,30,20,1,1,0,0,0,1.0,1.0
23,375,352,2025,9,30,21,1,1,0,0,0,0.9386666666666666,0.9386666666666666
67,375,308,2025,9,30,22,1,1,0,0,0,0.8213333333333334,0.8213333333333334
82,375,293,2025,9,30,22,1,1,0,0,0,0.7813333333333333,0.7813333333333333
110,375,265,2025,9,30,23,1,1,0,0,0,0.7066666666666667,0.7066666666666667
146,375,229,2025,9,30,23,1,1,0,0,0,0.6106666666666667,0.6106666666666667
369,375,6,2025,10,1,6,2,1,0,0,0,0.016,0.016
368,375,7,2025,10,1,6,2,1,0,0,0,0.018666666666666668,0.018666666666666668
363,375,12,2025,10,1,7,2,1,0,0,0,0.032,0.032
355,375,20,2025,10,1,7,2,1,0,0,0,0.05333333333333334,0.05333333333333334
341,375,34,2025,10,1,8,2,1,0,0,0,0.09066666666666667,0.09066666666666667
321,375,54,2025,10,1,8,2,1,0,0,0,0.144,0.144
228,375,147,2025,10,1,10,2,1,0,0,0,0.392,0.392
193,375,182,2025,10,1,11,2,1,0,0,0,0.48533333333333334,0.48533333333333334
160,375,215,2025,10,1,11,2,1,0,0,0,0.5733333333333334,0.5733333333333334
133,375,242,2025,10,1,12,2,1,0,0,0,0.6453333333333333,0.6453333333333333
110,375,265,2025,10,1,12,2,1,0,0,0,0.7066666666666667,0.7066666666666667
81,375,294,2025,10,1,13,2,1,0,0,0,0.784,0.784
66,375,309,2025,10,1,13,2,1,0,0,0,0.824,0.824
40,375,335,2025,10,1,14,2,1,0,0,0,0.8933333333333333,0.8933333333333333
32,375,343,2025,10,1,14,2,1,0,0,0,0.9146666666666666,0.9146666666666666
0,375,375,2025,10,1,15,2,1,0,0,0,1.0,1.0
8,375,367,2025,10,1,15,2,1,0,0,0,0.9786666666666667,0.9786666666666667
3,375,372,2025,10,1,16,2,1,0,0,0,0.992,0.992
0,375,375,2025,10,1,16,2,1,0,0,0,1.0,1.0
5,375,370,2025,10,1,17,2,1,0,0,0,0.9866666666666667,0.9866666666666667
6,375,369,2025,10,1,17,2,1,0,0,0,0.984,0.984
13,375,362,2025,10,1,18,2,1,0,0,0,0.9653333333333334,0.9653333333333334
8,375,367,2025,10,1,18,2,1,0,0,0,0.9786666666666667,0.9786666666666667
16,375,359,2025,10,1,19,2,1,0,0,0,0.9573333333333334,0.9573333333333334
9,375,366,2025,10,1,19,2,1,0,0,0,0.976,0.976
14,375,361,2025,10,1,20,2,1,0,0,0,0.9626666666666667,0.9626666666666667
20,375,355,2025,10,1,20,2,1,0,0,0,0.9466666666666667,0.9466666666666667
44,375,331,2025,10,1,21,2,1,0,0,0,0.8826666666666667,0.8826666666666667
72,375,303,2025,10,1,22,2,1,0,0,0,0.808,0.808
